Nombre	Descripcion	Latitud	Longitud	Tipo	Clase_vial	Nombre_vial	Numero_vial	Codigo_postal
Vivero de la Casa de Campo	La primera noticia documental la tenemos en 1805 durante el reinado de Carlos IV, como propiedad regia para dar respuesta a todas la solicitudes de planta procedentes de las Reales propiedades. Con posterioridad se atenderá también a la Villa de Madrid. La propiedad del vivero pasa a los madrileños en 1931.  En la actualidad dedica su producción a la creciente necesidad de arbolado y arbustos del municipio, cuya superficie ajardinada en conservación se incrementa cada año. Situado en zona de ribera, el Vivero de la Casa de Campo tiene una superficie de 18,39 Ha en la que se cultivan fundamentalmente árboles y arbustos leñosos destinados a las zonas verdes del municipio de Madrid. En los Viveros de la Casa de Campo se realizan visitas guiadas para el público en general, grupos formativos y asociaciones. Dentro de la descripción han incluido este texto que más bien debería estar en  Datos de localización y contacto o Actividades:  Para información y reserva de plaza pueden consultar el enlace situado más abajo, en el apartado 'Otros sitios de interés'.   También desde el Centro de Información y Educación Ambiental de la Casa de Campo (junto al embarcadero de El Lago – tfno.: 914 801 957 – correo electrónico: infocasacampo@madrid.es) de miércoles a domingo.	40.41984158690351	-3.7286969080235455	Parques	PASEO	AZUL	2	28011
Vivero municipal de Migas Calientes	Centro de producción donde se realiza el cultivo de árboles en tierra.  Historia del vivero Migas Calientes  Se trata de una finca siempre vinculada a la corona y a la nobleza madrileña. Hasta 1774 se localizó en esta finca el Real Jardín Botánico.  Otras denominaciones:    Viveros de la Villa. Vivero de Puerta de Hierro.	40.445355536117184	-3.7399742609916697	Parques	AUTOVIA	M-30	2200	28040
Zona verde C/ Fresnedillas	Esta nueva zona verde está situada entre las calles Fresnedillas, Los Gavilanes y Gabriela Mistral en el Distrito Fuencarral-El Pardo. Se ha estructurado mediante caminos terminados en jabre (tipo de tierra), aprovechando las sendas creadas por el uso de los vecinos. Las diferencias de nivel existentes entre la calle Fresnedillas y el fondo de la vaguada y entre ésta y el carril bici se salvan con hileras de gaviones (muros de contención realizados con piedras retenidas con malla de alambre). Estos muros que suavizan las pendientes y evitan las escorrentías crean espacios, casi planos entre ellos, donde se han realizado las plantaciones. En la zona baja de la parcela se localiza un bosquete de fresnos, por donde en su día discurría el arroyo del Fresno. También se han plantado alineaciones arbóreas y arbustivas y parterres con plantas de temporada y aromáticas. El parque tiene instalado riego por goteo y se ha dotado la zona con alumbrado público. Cada área dispone de su mobiliario específico con bancos corridos sobre los gaviones y papeleras. Además se ha construido una red de saneamiento para evacuar las escorrentías que se produzcan al alcantarillado público. La zona al sureste del 'carril bici' está adecuada como zona deportiva, estructurando lo que ya existía: un solar con una superficie bastante regular que se utilizaba para la práctica informal de juegos deportivos. Se ha construido un estacionamiento en superficie por petición vecinal, con 18 plazas, que suple las que utilizaban los vecinos en una zona que ahora está ajardinada.	40.477263871475174	-3.7430025162285188	Parques	CALLE	FRESNEDILLAS	1	28035
Área Forestal de Tres Cantos	El Monte de Tres Cantos se sitúa al este del término municipal de esta localidad y al noroeste de la ciudad de Madrid. Está limitado al este por la carretera M-607, al sur y al suroeste por el Monte de El Pardo y al norte por propiedades privadas colindantes y por el arroyo de Viñuelas.Es propiedad del Ayuntamiento de Madrid desde octubre de 1941 y su acceso se encuentra restringido. Está clasificado como suelo no urbanizable de protección forestal.El monte presenta un relieve bastante accidentado sin cotas de altitud demasiado elevadas (el punto más alto está a 757 metros), aunque existen algunas zonas llanas en el Aula de la Naturaleza y el Palacio Valdés.       Historia del Área Forestal de Tres Cantos  'Finca rústica destinada a caza con pastos, monte bajo y plantío de viñedo, con unas cinco mil cepas...' Así comienza la inscripción de la finca en el Registro de la Propiedad de Colmenar Viejo. Según dicho registro la superficie inicial de la finca era de 277 ha.Esta propiedad fue vendida por don Felipe González Rojas mediante escritura otorgada en Madrid el 31 de octubre de 1917 a don Horacio Echevarrieta y Mauri, un industrial bilbaíno muy influyente. El palacete que está en el interior de la finca llamado 'Palacio Valdés' data de años posteriores.El 31 de octubre de 1941 el Ayuntamiento de Madrid, siendo alcalde don Alberto Alcocer, adquirió la finca por acuerdo municipal.	40.582362517713584	-3.7054314643264945	Parques	CARRETERA	M-607	2100	28049
NOMBRE	DESCRIPCION-ENTIDAD	LATITUD	LONGITUD	Parques	CLASE-VIAL	NOMBRE-VIA	NUM	CODIGO-POSTAL
Jardines Gregorio Ordóñez	Jardines en memoria de Gregorio Ordóñez. Este cuidado jardín presenta dos amplias zonas infantiles, para diversión de los pequeños y posee un pequeño estanque en el centro del mismo rodeado de distintas especies de palmeras.	40.43346186779773	-3.6785954778654113	Parques	CALLE	PRINCIPE DE VERGARA	68	28006
Jardines San Francisco el Grande	Este jardín se encuentra en el solar de 4.200 metros cuadrados donde estuvo el antiguo convento de San Francisco, demolido a mediados del siglo XX por encontrarse en ruinas. Hasta 2007 no tuvo ningún uso y fue en ese año cuando el Ayuntamiento de Madrid convirtió el espacio en un jardín temático de dalias, la antigua Dalieda de San Francisco. Posteriormente, en 2016,  se modificó  la composición de las plantaciones y se apostó por los rosales debido a su gran capacidad de adaptación al clima madrileño y a su mayor floración. En la actualidad los Jardines de San Francisco el Grande cuenta con 21 variedades de rosales que alcanzan su máxima esplendor en los meses de mayo y junio. El parque encuentra en una zona denominada “Las Vistillas” por ser la más alta del Madrid de los Austrias y su mirador se ha convertido en uno de los lugares más transitados para ver puestas de sol en la ciudad. Antecede al mirador el grupo escultórico San Isidro Labrador, obra en la que se representa al patrón de Madrid recostado y a un ángel que posa una mano sobre su cabeza para inducirle a dormir. Esta fue una de las esculturas que realizó Santiago Costa en 1952 para homenajear al arquitecto Juan de Villanueva. Su emplazamiento original fue la fuente de la glorieta de San Vicente, donde estuvo hasta 1995.	40.40714274084601	-3.7121666160537057	Parques	AVENIDA	GRAN VIA DE SAN FRANCISCO	29	28005
Jardines de Andrés Saborit	Jardines situados en la calle Raimundo Fernández Villaverde, entre las calles Alenza y Alonso Cano. Esta gran zona verde está dotada de áreas infantiles, equipamientos de entrenamiento para mayores y zonas estanciales. Se encuentra rodeada de césped, árboles de sombra y de pequeños grupos de macizos arbustivos. Hasta abril de 2018 estos jardines eran conocidos como Jardines de Raimundo Fernández Villaverde. Con el cambio de denominación se ha instalado una placa en homenaje a Andrés Saborit, concejal socialista en el Ayuntamiento de Madrid durante la II República y artífice de grandes logros sociales como la apertura de la Casa de Campo, la ampliación del Metro, la municipalización de servicios y la construcción de unas 200 escuelas infantiles.	40.44613326792272	-3.6989699295578347	Parques	CALLE	RAIMUNDO FERNANDEZ VILLAVERDE	32	28003
Jardines de El Buen Retiro	Jardín Histórico Artístico creado en el siglo XVII. Es la zona verde más importante del centro urbano, tanto por su extensión como por su riqueza vegetal. La diversidad de sus trazados corresponde con las intervenciones realizadas a lo largo de sus diferentes etapas históricas. Destacan el Parterre de estilo francés	LOS JERONIMOS	RETIRO	Parques	Conservación: Dirección General de Gestión del Agua y Zonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad   Superficie: 1.177.300 m2     Zona verde del Retiro: 113, 76 hectáreas Viveros Estufas del Retiro: 3,23 hectáreas Talleres Estufas del Retiro: 0,74 hectáreas    % Especies predominantes (nombre común) con respecto a especies principales:  Árboles.  Nº total de unidades arbóreas: 19.859Platano de sombra 4%Pino piñonero 3% Arbustos. Nº total de unidades arbustivas: 7.922Madroño 3%Lauro 5%Durillo 16% Macizos arbustivos. Superficie de macizos arbustivos: 27.450 m2  Rosal 13�elia 15%Enebro 5%	Metro: Retiro (línea 2), Príncipe de Vergara (líneas 2 y 9), Ibiza (línea 9), Atocha (línea 1), Atocha. Renfe (línea 1) Autobuses: 1, 2, 9, 14, 15, 19, 20, 26, 28, 32, 51, 52, 61, 63, 74, 146, 152, 202, C  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=499561945d9ec210VgnVCM2000000c205a0aRCRD	0
Jardines de Gloria Fuertes	Jardín dedicado a la poetisa y escritora de cuentos infantiles Gloria Fuertes, que fue vecina del barrio. Limitado por franjas de césped con pinos, cedros y plátanos que rodean una zona de juegos.	40.461517637696026	-3.6751179007317614	Parques	CALLE	MADRE DE DIOS	2	28016
Jardines de José Luis Jiménez Manso	Parque emblemático de la zona al ser uno de los más antiguos del distrito de Moratalaz. Se compone de arbolado maduro y de numerosos parterres de césped, aunque recientemente se ha plantado arbolado nuevo.	40.410944943237865	-3.660501733743551	Parques	CALLE	CAMINO DE LOS VINATEROS	1	28030
Jardines de Perón	Jardines situados en la avenida General Perón entre las calles Orense y Reina Mercedes con grandes superficies de pradera y arbustos. Tiene zonas estanciales e infantiles y un área canina.	40.45257591499544	-3.6957817548357257	Parques	AVENIDA	GENERAL PERON	21	28020
Jardines de Sabatini	Los Jardines de Sabatini se encuentran situados frente a la fachada norte del Palacio Real, entre la calle de Bailén y la Cuesta de San Vicente, en una terraza colgada sobre el Campo del Moro. Se trata de un jardín de estilo neoclásico acorde con el palacio.    El jardín se divide en tres terrazas: la inferior, marcada por la simetría de los parterres a ambos lados de una gran lámina de agua a modo de espejo con dos surtidores, y enmarcada por cuatro cuadros con sendas fuentes rodeadas por figuras de seto	439498	4474610	Parques	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=20baf389ed2ee210VgnVCM1000000b205a0aRCRD	2	CALLE	MADRID
Jardines de San Fernando	Jardines ubicados alrededor de la Parroquia de San Fernando, delimitados por la avenida de Alberto Alcocer, las calles Doctor Fleming, Juan Hurtado de Mendoza y Juan Ramón Jiménez. Dispone de superficies de césped, macizos arbustivos, dos zonas infantiles y zonas estanciales. Destacan los ejemplares de ciprés de gran valor ornamental. En el parque hay un monumento dedicado a la Infancia.	40.45978849094378	-3.687352342212426	Parques	AVENIDA	ALBERTO ALCOCER	9	28036
Jardines de la Avenida de Brasil	Son pequeñas zonas ajardinadas que se ubican a lo largo de la Avenida de Brasil.  Estos jardines están compuestos por grandes superficies de pradera y arbolado de sombra. Están dotados de zonas estanciales, áreas infantiles, zonas caninas y espacios peatonales con pérgolas. Dentro de estos jardines se encuentran los Jardines de la Organización Mundial del Turismo con una placa informativa y una fuente ornamental.	40.458706953002235	-3.6934625569379387	Parques	AVENIDA	BRASIL	31	28020
Jardines de la Basílica	Situados frente a la Basílica Hispanoamericana de la Merced y junto al colegio Patrocinio de San José. Zona principalmente pavimentada aunque tiene también gran superficie de pradera	4477831	40.44903638127448	Parques	BASILICA	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=58df433bf683e210VgnVCM1000000b205a0aRCRD	V	MADRID
Jardines de la Plaza Conde del Valle de Suchil	Plaza rectangular pavimentada con macizos de arbustos y dotada con dos áreas infantiles, área canina y fuente ornamental.	40.43137597367309	-3.7064685006782208	Parques	CALLE	RODRIGUEZ SAN PEDRO	3	28015
Jardines de la Plaza de Chamberí	Plaza pavimentada situada junto a la Junta del Distrito en la que podemos encontrar área infantil, fuente ornamental y kiosco.	40.43285328749453	-3.697594475998512	Parques	PLAZA	CHAMBERI	1	28010
Jardines de la Plaza de Olavide	Plaza circular pavimentada situada entre bloques, dotada de área infantil y aparatos de entrenamiento de mayores.	40.43247362678542	-3.7007855621824293	Parques	PLAZA	OLAVIDE	16	28010
Jardines de la Plaza de Oriente, Lepanto y Cabo Noval	La plaza de Oriente, de forma rectangular cerrada en hemiciclo, está presidida por el Teatro Real y se abre en una gran perspectiva enmarcando la fachada oriental del Palacio Real. Se distinguen tres espacios diferenciados: el parterre central, que se desarrolla en el entorno del famoso grupo escultórico ecuestre de Felipe IV, y los jardines del cabo Noval y de Lepanto, que se sitúan a ambos lados.    El parterre central sigue el modelo decimonónico de jardinería: seto de complicados diseños geométricos y figuras topiarias (ejemplares perfilados con diversas formas), todo ello guardando simetría con un eje principal. Se utilizan: para el seto el boj, en las esquinas tejos y entre ellos cipreses. Se encuentra un ejemplar de magnolio en el centro de cada figura, y dos fuentes artísticas en los cuadros más cercanos a palacio. Los jardines de Lepanto y Cabo Noval son espacios abiertos y ajardinados para el descanso y recreo de los visitantes. La cantidad de árboles hace de ambos jardines un lugar idóneo para la estancia y el ocio. Los jardines del Cabo Noval, integrados principalmente por plantaciones de plátanos, ocupan la parte septentrional de la Plaza de Oriente, junto a la calle de San Quintín. Los jardines de Lepanto se encuentran en la parte meridional de la plaza y su composición es muy similar.	40.41835486065351	-3.712838830603048	Parques	CALLE	BAILEN	17	28013
Jardines de la Plaza de la Villa de París	Plaza formada por dos amplios espacios estanciales, con zonas ajardinadas y arboladas ante el Tribunal Superior de Justicia, antiguo convento de Santa Bárbara. Dotada de zona de juegos infantiles y con grandes espacios en terrizo para el paseo de los ciudadanos.	40.42620255233654	-3.6934468983675846	Parques	CALLE	GENERAL CASTAÑOS	6	28004
Jardines de la Vega	En la Cuesta de la Vega, bajo la catedral de la Almudena, se encuentran dos zonas ajardinadas diferencias. Por un lado, están los Jardines de Azorín que deben su nombre al escritor José Martínez Ruiz “Azorín” y por otro, el Jardín de la Glorieta de Boccherini que alberga un busto dedicado al músico italiano Luigi Boccherini. Ambos jardines están compuestos en su mayor parte por praderas y macizos de rosales, si bien en el Jardín de Boccherini también hay grupos de palmáceas. Estos recintos ajardinados se sitúan sobre lo que en el pasado fue la primera puerta de Madrid “la puerta de la Vega” que abría la ciudad hasta la vega. Se cree que es la puerta por la que entró el conquistador Alfonso VI. En 1708 se construyó una muralla en la que se colocó un medallón de la Virgen de la Almudena y cuya situación coincide con el lugar que ocupa la Catedral de la Almudena.	40.41476219795408	-3.7154411142835397	Parques	CUESTA	VEGA	1	28013
Jardines de la calle Teresita González Quevedo	Situados en la confluencia de la calle Capitán Haya con Teresita González de Quevedo. Zona de praderas con distintas especies de árboles y arbustos.	40.45558642017734	-3.6970275649098454	Parques	PLAZA	SAN AMARO	4	28020
Jardines de las Vistillas	Jardín de 1,74 hectáreas que es usado por los madrileños para sentarse en verano en cualquiera de sus terrazas. Fue diseñado en los años 30 y 40 por los arquitectos Fernando García Mercadal (1932) y Manuel Herrero Palacios (1945) que configuraron un primer cuerpo rodeado por un murete al que se accede por unas escaleras, una zona estancial con árboles, fuente central y señalados macizos con césped, pasos de granito y farolas y un busto de Zuloaga. Denominado de las Vistillas por sus magníficas vistas de la ribera del Manzanares y la Casa de Campo, es lugar, además, de famosas verbenas y festejos populares.	40.41281392212301	-3.7143597156687056	Parques	CALLE	MORERIA	12	28005
Jardines del Arquitecto Ribera	Estos jardines se estructuran en cuatro zonas estanciales y están diseñados para facilitar la conexión entre las calles Barceló y Beneficencia. Una de las zonas está pavimentada y las otras tres son de terrizo. Estas últimas están separadas entre sí por senderos peatonales pavimentados y ajardinados. Las tres superficies terrizas disponen de arbolado de sombra. Una de ellas es la zona de Juegos de Agua, otra la Explanada (zona estancial central) y por último encontramos la zona de juegos infantiles con taludes ajardinados frente a la calle Beneficencia.    El arbolado de sombra se encuentra tanto en los laterales de las tres zonas terrizas como en los cuatro alcorques circulares elevados que dan a la calle Barceló. En la zona ajardinada ubicada frente al colegio Isabel la Católica se han plantado árboles frutales, mientras que frente al jardín del Museo de Historia el arbolado es singular. Los Jardines del Arquitecto Ribera también cuentan con arbustos y tapizantes. Dentro de estos jardines se ha reservado un espacio para alojar un huerto urbano de uso escolar para el colegio Isabel la Católica.	40.42640449792336	-3.7002981748621955	Parques	CALLE	BARCELO	2	28004
Jardines del Descubrimiento	Los Jardines del Descubrimiento se encuentran en el centro neurálgico de la capital, delimitados por las calles Goya, Serrano, de la Armada Española y el eje Castellana-Recoletos. La Antigua Casa de la Moneda y el Timbre ocupaba estos terrenos hasta los años 70, fecha en la que se remodeló la plaza y se crearon los jardines y el antiguo Centro Cultural de la Villa. En la actualidad es un lugar de referencia para los madrileños ya que su excelente ubicación los convierte en uno de los principales escenarios para la celebración de todo tipo de eventos: actos de conmemoración del Día de la Hispanidad, ferias, manifestaciones y encuentros deportivos.  El diseño original  de la jardinería  presentaba grandes áreas geométricas de césped en la zona  central de la plaza, acompañadas de macizos de flor y ejemplares arbóreos de gran porte como pinos, cipreses y magnolios en las franjas laterales. Debido a las filtraciones producidas en las instalaciones subterráneas y al gasto de agua para su mantenimiento, en 2006 las praderas se sustituyeron por grava ornamental. En la actualidad bajo su superficie se encuentran el aparcamiento público Plaza de Colón y el Fernán Gómez Centro Cultural de la Villa.  Los Jardines del Descubrimiento deben su nombre a Cristóbal Colón. Un gran monumento neogótico con la estatua de Cristóbal Colón ha presidido los jardines desde 1972 a 2009, año en el que con motivo de las obras de remodelación del eje Prado-Recoletos fue de nuevo trasladado a la que fuera su ubicación inicial, el centro de la rotonda de la plaza de Colón. En el lateral de la calle Serrano se sitúa el Monumento al Descubrimiento de América compuesto por cuatro grandes bloques de hormigón con grabados y textos de la historia del Descubrimiento. En estos céntricos jardines ondea desde 2002 la bandera más grande de España, con 294 metros cuadrados -21 x 14- de longitud y 35 kilos de peso. Está sostenida por un mástil de 50 metros de altura que gira en la dirección del viento lo que impide que se enrolle. Mirando a esta bandera se colocó en 2014 una estatua en honor al almirante Blas de Lezo.  Otras denominaciones: Jardines de la Plaza Colón	40.42518540300912	-3.6887800207651495	Parques	CALLE	GOYA	2	28001
Jardines del Doctor Fleming	Jardines situados junto a bloques de viviendas en la Calle Doctor Fleming, que presentan mayoritariamente praderas delimitadas por borduras de seto.	40.45454215758879	-3.6893863385035783	Parques	CALLE	DOCTOR FLEMING	1	28036
Jardines del Mundial. Castellana	Jardineras de obra con especies arbóreas específicas de diferentes países. Parque conmemorativo de los Mundiales de Fútbol 1982, posee especies originales de otros países.	40.4530917282714	-3.6893833082867062	Parques	PASEO	CASTELLANA	142	28046
Jardines del Príncipe de Anglona	Pequeño jardín histórico, situado en pleno centro de Madrid. Antiguamente era el lugar de recreo de los distintos propietarios del palacio contiguo. El jardín aún conserva su estructura original, pese a haber sido reformado en varias ocasiones. Los caminos de ladrillos están aparejados a sardinel (albañilería hecha con los ladrillos colocados de canto, en posición vertical, adosados por sus caras). Dentro del jardín destacan varios arbustos singulares y una gran pérgola de rosales trepadores. El Jardín original data aproximadamente del año 1750. Su aspecto actual se debe al encargo que en 1920 realizaron los Marqueses de la Romana al pintor y diseñador de jardines Javier de Winthuysen. La última restauración la realizó la paisajista toscana Lucía Serredi en el año 2002.	40.413417349090764	-3.711466649831885	Parques	PLAZA	PAJA	6	28005
Jardín Botánico de Pradolongo	En la zona central del parque de Pradolongo, frente al lago, se sitúa el jardín botánico. Son más de ocho mil metros cuadrados distribuidos en plazas y parterres, con numerosos carteles informativos y fichas botánicas con la descripción de las principales especies vegetales allí presentes.	40.373745996607155	-3.712180056298639	Parques	AVENIDA	RAFAELA YBARRA	0	28026
Jardín Concejal Alejandro Muñoz Revenga	Plaza pavimentada con gran superficie de arbustos y una zona infantil.	40.43304334055123	-3.712227582685096	Parques	CALLE	MELENDEZ VALDES	32	28015
Jardín Doña Concha Piquer	Pequeño parque con dos zonas infantiles y varias zonas estanciales, una gran densidad de arbolado que da cobijo a los visitantes en los calurosos días de verano.	40.402080397498985	-3.714965086287463	Parques	PASEO	IMPERIAL	93	28005
Jardín Fachada Pirámides I	Pequeño parque situado entre dos vías importantes de Madrid como son la calle Toledo y el paseo de las Acacias.	40.40148810908036	-3.713132255123738	Parques	PASEO	ACACIAS	60	28005
Jardín Glorieta de Azorín	Pequeño jardincillo situado en la denominada Cuesta de la Vega, bajo la Catedral de la Almudena. Le debe su nombre al escritor José Martínez Ruiz 'Azorín'.	40.414757673901924	-3.7161718357850444	Parques	CUESTA	VEGA	3	28013
Jardín Jazmín	Parque formado en su totalidad por pradera natural	4481442	40.481785094079584	Parques	ROQUETAS DE MAR	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cae5e8d9af8be210VgnVCM1000000b205a0aRCRD	V	MADRID
Jardín Palacio O'Reilly	Pequeño jardín interior, dotado de varias especies arbóreas destinadas al uso culinario,  donde puedes esconderte de la bulliciosa ciudad. Utilizado antiguamente como huerto por las hermanas Bernardas(S. XVII).   Otras denominaciones Huerto de las Monjas	40.41418990040181	-3.7118283820550775	Parques	PLAZA	CRUZ VERDE	2	28005
Jardín de Embajadores M-30	Pequeño parque limítrofe con la M-30, de diseño moderno, cuya función es actuar como barrera acústica.          Otras denominaciones: Madroños	40.38418473435094	-3.685817452497564	Parques	CALLE	PUERTO DE LA CRUZ VERDE	29	28045
Jardín de Larra	Zona verde de ubicación privilegiada, ya que se encuentra frente a la Catedral de la Almudena y el Palacio Real. En forma de talud, separa las distintas alturas a las que se encuentran las calles que lo delimitan, Bailén y Factor, atravesándolo un pequeño camino terrizo.	40.41631909566782	-3.712793771176405	Parques	CALLE	FACTOR	7	28013
Jardín de la Colonia Congosto	Área ajardinada formada por una gran zona estancial localizada en torno a la cafetería existente. El parque presenta gran cantidad de macizos arbustivos así como ejemplares arbóreos bien establecidos.  Otras denominaciones   Parque Congosto Parque Camino Congosto	40.37089825532696	-3.618365854832584	Parques	CALLE	CONGOSTO	70	28031
Jardín de las Bellas Artes	El jardín está situado junto al Paseo de la Castellana. Dispone de una fuente ornamental con un monumento en memoria de Isabel La Católica. Está compuesto de taludes de pradera y arbolado de gran porte y de gran valor tanto botánico como ornamental (secuoias). El jardín está situado entre el Paseo de la Castellana y la fachada principal del Museo de Ciencias Naturales y la Universidad Politécnica de Industriales. Otras denominaciones: Jardín Museo Nacional de Ciencias Naturales	40.4390037057741	-3.6905481652485355	Parques	PASEO	CASTELLANA	78	28046
Jardín del Bulevar de Peña Gorbea	Sin descripcion	40.3957812018463	-3.6670346724676173	Parques	CALLE	PEÑA GORBEA	17	28053
Jardín del Maestro Padilla	Jardín urbano, distribuido en  dos alturas, donde predomina el pino piñonero y el tilo, con una pequeña zona infantil, muy próximo al Río Manzanares.	40.404491323444994	-3.7213308239798675	Parques	CALLE	SAN ALEJANDRO	1	28005
Jardín del Templo de Debod	Jardines diseñados para acompañar al templo donado por Egipto a España en 1968, y que fue instalado en el lugar ocupado por el antiguo Cuartel de la Montaña. Con dos grupos de cipreses ejemplares, a modo de grandes columnas de recibimiento, se divide en dos ámbitos a derecha e izquierda. El templo se sitúa con orientación E-O, acompañado por dos sencillas láminas de agua sin caños ni surtidores, que forman una figura troncocónica de reminiscencias egipcias con dos anchos paseos laterales que desembocan en un balcón. Desde aquí se puede contemplar la famosa cornisa del Manzanares, con el Palacio Real, la Casa de Campo y los atardeceres más hermosos de Madrid. Los parterres del jardín, que se desarrollan a ambos lados, sólo realizan la función de marco vegetal de esta atractiva perspectiva, y se cierran en sí mismos con plazas, plátanos de alineación y grupos de palmitos y plantas mediterráneas sobre las praderas.      Este parque se incluye entre las visitas recomendadas a turistas que visitan la ciudad, según la web oficial de turismo de Madrid.	40.42425096551599	-3.716531855540272	Parques	CALLE	FERRAZ	1	28008
Jardín del paseo Federico García Lorca	Paseo peatonal ajardinado en el que destaca la alineación de acacia de tres púas así como las fuentes ornamentales y el monumento a Federico García Lorca.  Otras denominaciones: Bulevar del Paseo Federico García Lorca	40.37740868500615	-3.6206400361863036	Parques	PASEO	FEDERICO GARCIA LORCA	21	28031
Jardín el Torero	Zona verde formada por zonas terrizas y praderas de césped comunicadas entre sí por caminos adoquinados. Cuenta con dos pistas deportivas y una zona infantil. En el parque se pueden encontrar diversas especies arbóreas pero se observa un notable predominio de coníferas.	40.39218269145896	-3.7056345651289417	Parques	CALLE	TORERO	6	28026
Jardín histórico El Capricho de la Alameda Osuna	Las características naturales y artísticas del jardín 'El Capricho', permiten disfrutar de un entorno lleno de sensaciones y colmado de historias en cada uno de sus rincones. Artistas ilustrados construyeron pabellones, trazaron recorridos, dispusieron láminas de agua y crearon estancias para conseguir aunar belleza, grandeza y singularidad y representar para el espectador, la fiesta, el juego, el amor y los trabajos de la naturaleza.    Se caracteriza por los bosquetes de lilos y de árboles del amor que proporcionan un hermoso colorido primaveral al jardín. En sus praderas y paseos se observan notables ejemplares de robles, pinos, cipreses, tejos, cedros, plátanos y castaños de indias. Esta riqueza vegetal alberga una fauna muy variada, destacando entre las aves: mirlos, palomas torcaces, pitos reales, herrerillos, petirrojos, ruiseñores, etc., además de cisnes negros y ánades y entre los mamíferos: ardillas rojas, musarañas, ratones comunes y ratones de campo.     Este parque se incluye entre las visitas recomendadas a turistas que visitan la ciudad, según la web oficial de turismo de Madrid. El parque es accesible a personas con movilidad reducida en las partes principales del mismo.	40.45446361509569	-3.6000964360303476	Parques	PASEO	ALAMEDA DE OSUNA	25	28042
Palacio de Cristal de la Arganzuela: Invernadero	El Invernadero de Arganzuela está situado en el Paseo de la Chopera, junto al río Manzanares. Es un edificio que forma parte del conjunto arquitectónico del histórico Matadero Municipal y del Mercado de Ganados. Fue proyectado y construido por el arquitecto Don Luis Bellido y González entre los años 1908 y 1928. Este recinto es conocido popularmente como 'Nave de las Patatas' y fue restaurado y rehabilitado para su uso como Invernadero en el año 1992. La remodelación del edificio le ha situado en una posición de relevancia dentro de la arquitectura industrial. Se tomó como modelo los valiosos invernaderos decimonónicos contenidos en los parques de Viena o Londres, así como toda la Arquitectura del Hierro representativa del s. XIX. El Invernadero Palacio de Cristal, está distribuido en un escenario central y cuatro espacios cerrados que representan microclimas diferentes, albergando cuatro clases diferentes de plantas: dos tropicales, uno subtropical y uno desértico. También dispone de láminas de agua, fuentes, rías y acuarios poblados de peces de diferente hábitat.	40.3933877847248	-3.698565632659468	Parques	PASEO	CHOPERA	10	28045
Parque Agustín Rodríguez Sahagún	El Parque Agustín Rodríguez Sahagún ocupa una gran extensión de 18 hectáreas. Está compuesto principalmente por praderas y una gran variedad de especies arbóreas, tanto frondosas como coníferas. Está dotado de varias zonas estanciales, áreas infantiles, de mayores y caninas. A lo largo de su superficie se distribuyen diferentes instalaciones deportivas, entre ellas un campo de fútbol reglado. El parque tiene una fuente ornamental en la que se ha incorporado un reloj de agua. Asimismo, dispone de un auditorio y  un carril bici  transcurre por gran parte de su superficie. La zona verde más antigua del parque está ubicada entre la calle Marqués de Viana y la calle Capitán Blanco Argibay y anteriormente se llamaba Parque de la Huerta del Obispo.  .	40.47022952429582	-3.7038792453996385	Parques	PASEO	DIRECCION	301	28029
Parque Alcalde Jesús Pérez Quijano	Zona verde localizada en el distrito de Vicálvaro que discurre paralela a la M-40. Posee zonas deportivas para mayores, zonas infantiles y un largo carril bici que lo recorre. En 2020 se ha remodelado creando nuevos paseos y caminos, dotado de más espacios ajardinados, más áreas caninas y mejorado los sistemas de riego y drenaje. Dispone de un circuito que atraviesa el parque de sur a norte y del que nacen caminos secundarios que conectan con las diferentes dotaciones: áreas infantiles, caninas, deportivas o estanciales.   Para aislar de los efectos negativos que genera el tráfico de la M-40, se ha realizado una plantación lineal a modo de pantalla vegetal. Esta cortina verde de 700 metros es de doble alineación. La primera fila la ocupan cipreses, un arbolado de hoja perenne y crecimiento rápido y la segunda arbustos de buen porte y desarrollo frondoso como arces rojos, tuyas orientales y azahares de China. Esta pantalla, además de proteger de la contaminación atmosférica y visual, sirve de guía y orientación a los vecinos, ya que permite identificar el perímetro del parque. En mayo de 2018 la Junta de Gobierno de la Ciudad aprobó el cambio de denominación para homenajear a Jesús Pérez Quijano, alcalde de Vicálvaro cuando era municipio independiente de Madrid. Hasta ese momento era el Parque Valdebernardo M-40.  Otras denominaciones: Parque Norte de Valdebernardo	40.40418961057298	-3.622901144863193	Parques	CALLE	LADERA DE LOS ALMENDROS	0	28032
